"","P_5","P_7","P_8","P_9","P_10","P_18","P_19","P_22","P_23","P_25","P_31","P_37","P_42","P_43","P_47","P_50"
"CCL28",10.3589029298789,9.13043067086299,9.7953789622549,8.91601941135981,8.74163690749909,8.58725756293636,8.92503796640384,5.11911495031193,9.84343203739651,9.74932641253212,8.65142015581978,8.49400802477207,7.37534560917576,10.3088642265519,8.34156379888065,8.5842497625263
"PLOD2",11.219395669611,9.8264134417975,9.65921861686506,8.83184052096666,9.20756431948431,10.0686585642962,9.931524867298,10.5790581441735,9.30872913408307,10.398932940416,9.71428529010785,10.2087826737575,10.3288798691524,9.27667816089107,10.2688322826882,8.68349878053458
"MR1",6.48196539267284,6.9393039350539,7.20627318204261,6.99272746692941,7.40552423817877,7.85077004779204,7.64682642366927,5.39105692166814,7.14585867020202,8.1619767602569,7.05721843527605,6.08086352961996,6.24917589905244,6.15795573278639,7.14082333758561,6.24714961386301
"CD8A",8.98616071700913,7.89897434104026,7.16197090945261,7.09449242506909,8.1459206419507,7.62170071402382,9.1594818466647,3.95599869875862,7.4517909811275,10.7691743970548,9.39486064368526,8.82983613315179,8.98515874634602,5.45654646812439,7.32000825715131,7.21835402184698
"SEMA3D",10.6891273085521,9.99258596855913,9.17851482120114,8.20913804164109,9.79337671219541,9.51603287219527,8.27736224857817,6.49207676529126,10.9992960918083,10.5990711151562,9.60915575635502,7.953196158226,7.30390766385878,7.61768039652684,8.55918412276145,7.62572097498181
"ROBO3",6.51634089653778,6.97962502878472,5.45347814550786,5.38491377809794,6.02300519859866,5.78306088476336,5.90311499511564,5.01510455560979,6.04331029529871,6.73049092951982,6.01488195241701,5.92954507774937,6.71433955978001,4.49965652234587,5.87769395595094,5.39515201266587
"ANGPT1",7.47793800795517,9.73931476500922,8.07667134752247,7.53223498880309,7.72018121218704,7.35723662430157,9.41288718929381,8.76869933376658,8.42982668622678,7.06427081558194,7.25962517268555,9.41989742334109,6.00168019129496,7.05016579828601,7.63376132791291,5.24242096874345
"LRRK1",8.44085843069758,10.0386303644968,9.34278206656862,8.67748417125702,9.56109332298786,8.92303385307882,8.41378007696106,9.72629950188564,9.79638008611416,9.0502840347698,9.60915575635502,10.3488952962305,10.1187042790466,7.69003758868306,9.83442221999595,8.83484709126929
"MMP21",2.25118137806696,3.5824397264089,1.18866578299233,3.10781405629498,2.41059919627991,1.08541236453022,1.86162639406832,3.42138295549648,1.81171830148202,1.53860125500667,3.44214192685578,1.25011483269151,2.35698525316925,3.10446600319962,3.18460074196941,-9.96578428466209
"LY96",10.4689834963026,9.17851482120114,9.00519790073669,8.41879469808485,9.50001091949709,10.1587397260845,8.04957049324218,9.47697893228889,9.38484575217002,10.3088642265519,8.78573804266555,8.89297146256446,9.56710124137786,9.20856600860889,10.2488159752711,9.83342112538422
